listings/id,listings/pix_cache_id,listings/listing_id,listings/class_id,listings/status_id,listings/list_price,listings/sold_price,listings/close_dt,listings/list_dt,listings/sold_dt,listings/status_dt,listings/update_dt,listings/apartment,listings/civicnum,listings/street,listings/tla,listings/mla,listings/pix_count,listings/st_type,listings/city,listings/address,listings/pid,listings/pid2,listings/pid3,listings/pid4,listings/parcel_class_id,listings/idx_optin,listings/nbeds,listings/nfullbaths,listings/nhalfbaths,listings/is_vp,listings/is_vp_sold,listings/listing_b1,listings/listing_b2,listings/oh,listings/has_energy,listings/is_following,properties/id,properties/class_id,properties/apartment,properties/area,properties/area_unit,properties/assessment,properties/city,properties/civicchar,properties/civicnum,properties/lat,properties/lng,properties/parcel_type,properties/pid,properties/polygons/0/points,properties/polygons/0/levels,properties/polygons/0/num_points,properties/polygons/0/zoom_factor,properties/ppid,properties/shape_pid,properties/st_type,properties/street,properties/history,properties/has_energy,properties/is_following
11376451,70e21634,202115351,1,2,339900,420000,2021-07-29 0:00,2021-06-17 0:00,2021-06-30 0:00,2021-07-02 0:00,2021-07-02 10:42,,6,Day,2220,1168,30,Avenue,Dartmouth,6 Day Avenue,212365,,,,1,t,4,2,0,0,0,RE/MAX Nova,,,FALSE,FALSE,339677,1,,5798,sqft,229100,Westphal,,99,44.6925079,-63.49235522,standard,40152415,shyftAfdgbxBjGcB`FpWkFnCaG}X,,,6,,40152415,Drive,Taranaki,t,FALSE,FALSE
11376455,1cb4ff50,202115356,1,2,219900,297000,2021-08-19 0:00,2021-06-17 0:00,2021-06-29 0:00,2021-07-03 10:48,2021-07-03 10:48,,11,Linden,1463,984,31,Court,Cole Harbour,11 Linden Court,40119422,,,,1,t,3,1,1,0,0,RE/MAX Nova,,,FALSE,FALSE,339680,1,,6696,sqft,188900,Westphal,,115,44.6930686,-63.49264233,standard,40152449,oizftAjqgbxBtEuAhEj^{DdAuCh@mAe_@,,,6,,40152449,Drive,Taranaki,t,FALSE,FALSE
11376527,7a9503b5,202115436,1,2,325000,340000,2021-07-12 0:00,2021-06-17 0:00,2021-06-30 0:00,2021-06-30 0:00,2021-06-30 15:55,,21,Silistria,1752,876,13,Drive,Cole Harbour,21 Silistria Drive,40276719,,,,1,t,3,1,1,0,0,Sutton Group Professional Realty - A549,,,FALSE,FALSE,339851,1,,2000,sqft,204100,Cole Harbour,,293,44.67913392,-63.50303903,standard,40154387,{`_ftA``|bxBnBk@nCdVmBh@qCcV,,,6,,40154387,Drive,Poplar,t,FALSE,FALSE
11376584,823045dc,202115502,1,2,324900,352500,2021-07-14 0:00,2021-06-17 0:00,2021-06-30 0:00,2021-07-06 16:18,2021-07-06 16:18,,136,Ellerslie,1832,964,31,Crescent,Dartmouth,136 Ellerslie Crescent,40157612,,,,1,t,5,2,0,0,0,Royal LePage Anchor Realty,,,FALSE,FALSE,339859,1,,2000,sqft,154500,Cole Harbour,,309,44.67863111,-63.50284381,standard,40154460,oa~etAts{bxBpBk@nCtVmBf@sCqV,,,6,,40154460,Drive,Poplar,t,FALSE,FALSE
11376618,1d9b114a,202115540,1,2,349900,340000,2021-08-16 0:00,2021-06-18 0:00,2021-07-16 0:00,2021-07-20 7:57,2021-07-20 7:57,,16,Tamerlane,1695,965,27,Court,Forest Hills,16 Tamerlane Court,40146003,,,,1,t,3,1,1,0,0,RE/MAX Nova,,,FALSE,FALSE,339864,1,,2000,sqft,148500,Cole Harbour,,319,44.6783245,-63.50272578,standard,40154510,in}etAbl{bxBfBi@xCxVgBf@yCwV,,,6,,40154510,Drive,Poplar,t,FALSE,FALSE
11376636,8785eaae,202115561,1,2,299900,331000,2021-07-16 0:00,2021-06-18 0:00,2021-07-02 0:00,2021-07-05 14:16,2021-07-05 14:16,,21,Farquharson,1770,960,21,Street,Dartmouth,21 Farquharson Street,186916,,,,1,t,3,2,0,0,0,RE/MAX Nova,,,FALSE,FALSE,339888,1,,3913,sqft,217000,Cole Harbour,,391,44.67542721,-63.50236771,standard,40154767,k}wetA|uzbxBfC{BhKdXmD|BcJgX,,,6,,40154767,Drive,Poplar,t,FALSE,FALSE
11376736,328a5e13,202115678,1,2,249900,249900,2021-08-30 0:00,2021-06-19 0:00,2021-07-23 0:00,2021-07-29 15:15,2021-07-29 15:15,,309,Poplar,1338,982,31,Drive,Cole Harbour,309 Poplar Drive,40154460,,,,1,t,3,1,0,0,0,Royal LePage Anchor Realty,,,FALSE,FALSE,339891,1,,3882,sqft,194100,Cole Harbour,,397,44.6752141,-63.50215177,standard,40154791,_qwetAvizbxBxBiCdM~TgCbEwLyV,,,6,,40154791,Drive,Poplar,t,FALSE,FALSE
11376755,831543d5,202115700,1,2,184900,261610,2021-09-13 0:00,2021-06-21 0:00,2021-06-28 0:00,2021-06-29 13:13,2021-06-29 13:13,102,77,Russell Lake,1010,1010,24,Drive,Dartmouth,102 77 Russell Lake Drive,41173089,,,,1,t,1,1,0,0,0,Century 21 trident Realty Ltd.,,,FALSE,FALSE,339907,1,,3600,sqft,159400,Cole Harbour,,441,44.67385936,-63.50080813,standard,40154957,eytetAbswbxB~CkAzEfZyCjAaFgZ,,,6,,40154957,Drive,Poplar,t,FALSE,FALSE
11376896,70bbe293,202115871,1,2,349999,437000,2021-07-27 0:00,2021-06-22 0:00,2021-07-05 0:00,2021-07-06 9:47,2021-07-06 9:47,,63,Delta,1942,1242,30,Drive,Colby,63 Delta Drive,40123267,,,,1,t,4,1,1,0,0,Exit Realty Metro,,,FALSE,FALSE,339925,1,,6156,sqft,259200,Cole Harbour,,166,44.67831742,-63.49996231,standard,40155137,is}etA|dvbxB~GuGzH~RyG|GaIgS,,,6,,40155137,Drive,Poplar,t,FALSE,FALSE
11376915,6659a142,202115896,1,2,348900,323900,2021-08-18 0:00,2021-06-21 0:00,2021-07-05 0:00,2021-07-05 12:29,2021-07-05 12:29,,67,Woodlawn,1569,1144,23,Road,Dartmouth,67 Woodlawn Road,202432,,,,1,t,3,2,0,0,0,Coldwell Banker Supercity Realty,,,FALSE,FALSE,339926,1,,6028,sqft,254000,Cole Harbour,,170,44.67845477,-63.50009833,standard,40155145,y{}etAhnvbxBnGkH`IfSwFzFyIwQ,,,6,,40155145,Drive,Poplar,t,FALSE,FALSE
